Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE,District 08 Estimate,District 08 MOE,District 09 Estimate,District 09 MOE,District 10 Estimate,District 10 MOE,District 11 Estimate,District 11 MOE,District 12 Estimate,District 12 MOE,District 13 Estimate,District 13 MOE,District 14 Estimate,District 14 MOE,District 15 Estimate,District 15 MOE,District 16 Estimate,District 16 MOE
People,Sex and Age,45 to 54 years,93479,(+/- 3163 ),94643,(+/- 3553 ),94212,(+/- 3587 ),91490,(+/- 2302 ),89817,(+/- 2402 ),90980,(+/- 2051 ),93144,(+/- 3304 ),94400,(+/- 1831 ),91029,(+/- 3408 ),87678,(+/- 1194 ),81620,(+/- 3226 ),106110,(+/- 3154 ),88357,(+/- 3183 ),97898,(+/- 3296 ),99672,(+/- 3761 ),93672,(+/- 4153 )
People,Sex and Age,55 to 59 years,54385,(+/- 3170 ),53946,(+/- 2766 ),44561,(+/- 3117 ),49429,(+/- 2603 ),50512,(+/- 2955 ),54245,(+/- 3025 ),51256,(+/- 3621 ),50777,(+/- 2126 ),49466,(+/- 3139 ),50052,(+/- 2247 ),48415,(+/- 2832 ),52157,(+/- 3138 ),49159,(+/- 3203 ),53257,(+/- 3034 ),49983,(+/- 2921 ),54688,(+/- 3422 )
People,Sex and Age,60 to 64 years,45191,(+/- 3074 ),48355,(+/- 2814 ),44191,(+/- 3297 ),52876,(+/- 2464 ),51599,(+/- 2850 ),54024,(+/- 2926 ),50165,(+/- 2896 ),48195,(+/- 2273 ),48358,(+/- 3001 ),47511,(+/- 2168 ),49641,(+/- 2746 ),48896,(+/- 2982 ),51915,(+/- 3211 ),55878,(+/- 2867 ),48801,(+/- 3156 ),50920,(+/- 2973 )
People,Sex and Age,65 to 74 years,66712,(+/- 2041 ),68183,(+/- 2424 ),51401,(+/- 2675 ),72820,(+/- 1941 ),74352,(+/- 1877 ),80414,(+/- 2087 ),77024,(+/- 2998 ),71396,(+/- 1009 ),65615,(+/- 3285 ),73507,(+/- 937 ),67547,(+/- 2171 ),71527,(+/- 2560 ),74704,(+/- 2902 ),84775,(+/- 2889 ),71775,(+/- 2770 ),80609,(+/- 3272 )
People,Sex and Age,75 to 84 years,30945,(+/- 1959 ),37390,(+/- 2275 ),24020,(+/- 1821 ),36506,(+/- 1772 ),38962,(+/- 1886 ),41690,(+/- 2001 ),41116,(+/- 2585 ),37708,(+/- 1637 ),32776,(+/- 2389 ),39067,(+/- 1769 ),34665,(+/- 2235 ),36797,(+/- 2520 ),39223,(+/- 2158 ),42719,(+/- 2135 ),35622,(+/- 2292 ),46311,(+/- 3092 )
People,Sex and Age,85 years and over,14260,(+/- 1511 ),13954,(+/- 1641 ),8584,(+/- 1178 ),14126,(+/- 1476 ),17198,(+/- 1684 ),16928,(+/- 1845 ),16926,(+/- 1976 ),14326,(+/- 1564 ),13958,(+/- 1838 ),16397,(+/- 1785 ),17666,(+/- 1860 ),15152,(+/- 1906 ),18563,(+/- 2156 ),18054,(+/- 1972 ),13376,(+/- 1622 ),18817,(+/- 1856 )
People,Sex and Age,Median age (years),37.4,(+/- 0.6 ),39.3,(+/- 0.6 ),32.4,(+/- 0.5 ),40.8,(+/- 0.5 ),40.7,(+/- 0.5 ),43.7,(+/- 0.5 ),40.4,(+/- 0.7 ),39.6,(+/- 0.4 ),37.9,(+/- 0.8 ),38.9,(+/- 0.4 ),39.5,(+/- 0.9 ),38.7,(+/- 0.6 ),40.8,(+/- 0.9 ),43.9,(+/- 0.6 ),38.9,(+/- 0.6 ),43.1,(+/- 0.8 )
People,Sex and Age,18 years and over,566639,(+/- 5565 ),567593,(+/- 6554 ),612979,(+/- 8000 ),550176,(+/- 4606 ),556664,(+/- 4345 ),548138,(+/- 4751 ),562727,(+/- 6813 ),562030,(+/- 1618 ),559047,(+/- 8010 ),566809,(+/- 938 ),538929,(+/- 8695 ),607397,(+/- 7451 ),569647,(+/- 7690 ),566895,(+/- 7061 ),598278,(+/- 6310 ),565058,(+/- 8354 )
People,Sex and Age,65 years and over,111917,(+/- 2846 ),119527,(+/- 3465 ),84005,(+/- 2990 ),123452,(+/- 2673 ),130512,(+/- 2736 ),139032,(+/- 2681 ),135066,(+/- 3796 ),123430,(+/- 1053 ),112349,(+/- 4024 ),128971,(+/- 993 ),119878,(+/- 3153 ),123476,(+/- 3258 ),132490,(+/- 3463 ),145548,(+/- 3539 ),120773,(+/- 3216 ),145737,(+/- 4497 )
People,Race,Total population,740979,(+/- 7053 ),734712,(+/- 8438 ),812264,(+/- 10897 ),707219,(+/- 5766 ),717088,(+/- 6416 ),694694,(+/- 6537 ),734091,(+/- 8723 ),731637,(+/- 2063 ),716235,(+/- 10767 ),725301,(+/- 1247 ),678001,(+/- 12524 ),789634,(+/- 9907 ),707603,(+/- 11156 ),720551,(+/- 8821 ),759569,(+/- 9905 ),719864,(+/- 10469 )
People,Race,One race,717357,(+/- 8399 ),717473,(+/- 8566 ),773156,(+/- 13264 ),689291,(+/- 5917 ),695508,(+/- 6153 ),681080,(+/- 6404 ),716033,(+/- 9380 ),710441,(+/- 3750 ),679557,(+/- 10855 ),699878,(+/- 3728 ),652949,(+/- 12613 ),762902,(+/- 10741 ),685488,(+/- 11595 ),706481,(+/- 8827 ),738945,(+/- 9924 ),704505,(+/- 10224 )
People,Race,White,528785,(+/- 6427 ),626756,(+/- 7800 ),435291,(+/- 9487 ),637111,(+/- 5940 ),654248,(+/- 6134 ),658447,(+/- 6490 ),677610,(+/- 9680 ),640979,(+/- 3196 ),533397,(+/- 10523 ),553451,(+/- 2567 ),269493,(+/- 9606 ),683722,(+/- 8834 ),580914,(+/- 9100 ),649331,(+/- 7967 ),679312,(+/- 9021 ),662093,(+/- 9356 )
People,Race,Black or African American,153148,(+/- 6204 ),71218,(+/- 6648 ),276374,(+/- 7811 ),35888,(+/- 3254 ),18872,(+/- 2893 ),15368,(+/- 2377 ),28285,(+/- 2940 ),44808,(+/- 2619 ),112356,(+/- 6719 ),121710,(+/- 3785 ),355642,(+/- 8009 ),36840,(+/- 3187 ),82532,(+/- 5334 ),35441,(+/- 3590 ),36182,(+/- 5052 ),21642,(+/- 4210 )
People,Race,American Indian and Alaska Native,1049,(+/- 599 ),1183,(+/- 534 ),2310,(+/- 1415 ),3610,(+/- 1592 ),1250,(+/- 530 ),1304,(+/- 651 ),1645,(+/- 990 ),1248,(+/- 916 ),3161,(+/- 1498 ),1847,(+/- 636 ),1791,(+/- 748 ),1594,(+/- 1029 ),977,(+/- 519 ),569,(+/- 350 ),1063,(+/- 624 ),1071,(+/- 614 )
People,Race,Asian,27695,(+/- 2480 ),14023,(+/- 2444 ),37678,(+/- 4567 ),8129,(+/- 1504 ),9691,(+/- 1444 ),3887,(+/- 1534 ),4713,(+/- 1553 ),16544,(+/- 1427 ),10655,(+/- 2589 ),17383,(+/- 1278 ),17489,(+/- 2973 ),36877,(+/- 5372 ),15332,(+/- 2894 ),16156,(+/- 3028 ),19593,(+/- 3562 ),15917,(+/- 3051 )
People,Race,Native Hawaiian and Other Pacific Islander,0,(+/- 195 ),1326,(+/- 1362 ),68,(+/- 116 ),74,(+/- 96 ),857,(+/- 417 ),0,(+/- 195 ),0,(+/- 195 ),0,(+/- 195 ),503,(+/- 418 ),414,(+/- 533 ),327,(+/- 354 ),136,(+/- 191 ),37,(+/- 65 ),355,(+/- 319 ),86,(+/- 117 ),45,(+/- 78 )
People,Race,Some other race,6680,(+/- 2677 ),2967,(+/- 1014 ),21435,(+/- 4064 ),4479,(+/- 966 ),10590,(+/- 2191 ),2074,(+/- 902 ),3780,(+/- 1716 ),6862,(+/- 2522 ),19485,(+/- 3147 ),5073,(+/- 1977 ),8207,(+/- 3035 ),3733,(+/- 1620 ),5696,(+/- 2580 ),4629,(+/- 2007 ),2709,(+/- 1327 ),3737,(+/- 1337 )
People,Race,Two or more races,23622,(+/- 4167 ),17239,(+/- 3354 ),39108,(+/- 6366 ),17928,(+/- 2454 ),21580,(+/- 2838 ),13614,(+/- 2231 ),18058,(+/- 3310 ),21196,(+/- 3189 ),36678,(+/- 5362 ),25423,(+/- 3655 ),25052,(+/- 3808 ),26732,(+/- 3294 ),22115,(+/- 3032 ),14070,(+/- 2866 ),20624,(+/- 2905 ),15359,(+/- 3039 )
People,Hispanic or Latino and Race,Total population,740979,(+/- 7053 ),734712,(+/- 8438 ),812264,(+/- 10897 ),707219,(+/- 5766 ),717088,(+/- 6416 ),694694,(+/- 6537 ),734091,(+/- 8723 ),731637,(+/- 2063 ),716235,(+/- 10767 ),725301,(+/- 1247 ),678001,(+/- 12524 ),789634,(+/- 9907 ),707603,(+/- 11156 ),720551,(+/- 8821 ),759569,(+/- 9905 ),719864,(+/- 10469 )
People,Hispanic or Latino and Race,Hispanic or Latino (of any race),26112,(+/- 2440 ),15103,(+/- 2725 ),57550,(+/- 3373 ),27388,(+/- 2637 ),37722,(+/- 1967 ),6563,(+/- 1497 ),18719,(+/- 2657 ),26611,(+/- 322 ),84049,(+/- 4220 ),21916,(+/- 198 ),29751,(+/- 3434 ),20689,(+/- 2746 ),26042,(+/- 2394 ),23393,(+/- 2421 ),17367,(+/- 2654 ),16943,(+/- 2470 )
People,Hispanic or Latino and Race,Mexican,11673,(+/- 2483 ),8007,(+/- 2213 ),28287,(+/- 4474 ),14904,(+/- 1814 ),26452,(+/- 2798 ),3186,(+/- 1207 ),7717,(+/- 2115 ),14110,(+/- 2994 ),29168,(+/- 3550 ),11216,(+/- 1924 ),6588,(+/- 1997 ),9831,(+/- 2238 ),7102,(+/- 2115 ),13882,(+/- 2140 ),8297,(+/- 2173 ),5887,(+/- 1785 )
People,Hispanic or Latino and Race,Puerto Rican,2738,(+/- 1375 ),3817,(+/- 1682 ),8612,(+/- 2584 ),8884,(+/- 1918 ),5260,(+/- 1832 ),1319,(+/- 964 ),4398,(+/- 1610 ),3023,(+/- 1662 ),45176,(+/- 3985 ),3402,(+/- 1333 ),16029,(+/- 2676 ),5028,(+/- 1975 ),14415,(+/- 2547 ),5615,(+/- 1447 ),3993,(+/- 1124 ),5395,(+/- 1704 )
People,Hispanic or Latino and Race,Cuban,1880,(+/- 1565 ),591,(+/- 439 ),398,(+/- 416 ),520,(+/- 497 ),755,(+/- 567 ),154,(+/- 161 ),145,(+/- 167 ),477,(+/- 368 ),1174,(+/- 628 ),1088,(+/- 652 ),691,(+/- 425 ),668,(+/- 515 ),1081,(+/- 816 ),179,(+/- 130 ),624,(+/- 441 ),937,(+/- 706 )
People,Hispanic or Latino and Race,Other Hispanic or Latino,9821,(+/- 2872 ),2688,(+/- 1077 ),20253,(+/- 4499 ),3080,(+/- 919 ),5255,(+/- 1355 ),1904,(+/- 645 ),6459,(+/- 2561 ),9001,(+/- 2599 ),8531,(+/- 2175 ),6210,(+/- 1990 ),6443,(+/- 1747 ),5162,(+/- 1409 ),3444,(+/- 1413 ),3717,(+/- 2349 ),4453,(+/- 1268 ),4724,(+/- 1596 )
People,Hispanic or Latino and Race,Not Hispanic or Latino,714867,(+/- 7336 ),719609,(+/- 8822 ),754714,(+/- 11358 ),679831,(+/- 5865 ),679366,(+/- 7101 ),688131,(+/- 6805 ),715372,(+/- 8807 ),705026,(+/- 2098 ),632186,(+/- 11218 ),703385,(+/- 1169 ),648250,(+/- 11763 ),768945,(+/- 10150 ),681561,(+/- 10616 ),697158,(+/- 8250 ),742202,(+/- 9294 ),702921,(+/- 11066 )
People,Place of Birth,Total population,740979,(+/- 7053 ),734712,(+/- 8438 ),812264,(+/- 10897 ),707219,(+/- 5766 ),717088,(+/- 6416 ),694694,(+/- 6537 ),734091,(+/- 8723 ),731637,(+/- 2063 ),716235,(+/- 10767 ),725301,(+/- 1247 ),678001,(+/- 12524 ),789634,(+/- 9907 ),707603,(+/- 11156 ),720551,(+/- 8821 ),759569,(+/- 9905 ),719864,(+/- 10469 )
People,Place of Birth,Native,688383,(+/- 7932 ),710949,(+/- 8442 ),702761,(+/- 12480 ),693237,(+/- 6366 ),698081,(+/- 7064 ),687351,(+/- 6799 ),720087,(+/- 8851 ),701167,(+/- 3045 ),684336,(+/- 10885 ),692339,(+/- 3449 ),641485,(+/- 12187 ),741933,(+/- 9262 ),683798,(+/- 10556 ),680529,(+/- 7097 ),727872,(+/- 9110 ),679551,(+/- 9997 )
People,Place of Birth,Born in United States,684898,(+/- 8009 ),705279,(+/- 8513 ),694741,(+/- 11991 ),689135,(+/- 6477 ),693199,(+/- 7353 ),685070,(+/- 6961 ),717168,(+/- 8850 ),695501,(+/- 3054 ),667145,(+/- 10849 ),684881,(+/- 3664 ),632260,(+/- 12144 ),736679,(+/- 9135 ),675034,(+/- 10259 ),675120,(+/- 7172 ),722296,(+/- 9241 ),673794,(+/- 10036 )
People,Place of Birth,State of residence,527466,(+/- 9416 ),541420,(+/- 9745 ),522346,(+/- 14102 ),584055,(+/- 7871 ),564210,(+/- 9150 ),489469,(+/- 8817 ),620023,(+/- 9220 ),543621,(+/- 7430 ),548135,(+/- 10989 ),501524,(+/- 7788 ),498818,(+/- 11610 ),573469,(+/- 10286 ),536111,(+/- 11406 ),555307,(+/- 8426 ),585346,(+/- 10479 ),561564,(+/- 10992 )
People,Place of Birth,Different state,157432,(+/- 6691 ),163859,(+/- 7419 ),172395,(+/- 8648 ),105080,(+/- 4814 ),128989,(+/- 5745 ),195601,(+/- 6665 ),97145,(+/- 5737 ),151880,(+/- 7413 ),119010,(+/- 7068 ),183357,(+/- 6885 ),133442,(+/- 5543 ),163210,(+/- 7560 ),138923,(+/- 6473 ),119813,(+/- 5930 ),136950,(+/- 5631 ),112230,(+/- 5717 )
People,Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",3485,(+/- 1121 ),5670,(+/- 1414 ),8020,(+/- 1953 ),4102,(+/- 1068 ),4882,(+/- 1264 ),2281,(+/- 666 ),2919,(+/- 929 ),5666,(+/- 1315 ),17191,(+/- 2772 ),7458,(+/- 1547 ),9225,(+/- 1823 ),5254,(+/- 1300 ),8764,(+/- 2393 ),5409,(+/- 1121 ),5576,(+/- 1288 ),5757,(+/- 1377 )
People,Place of Birth,Foreign born,52596,(+/- 5127 ),23763,(+/- 3362 ),109503,(+/- 8574 ),13982,(+/- 2198 ),19007,(+/- 2488 ),7343,(+/- 1571 ),14004,(+/- 2058 ),30470,(+/- 2729 ),31899,(+/- 3510 ),32962,(+/- 3324 ),36516,(+/- 3736 ),47701,(+/- 5323 ),23805,(+/- 3555 ),40022,(+/- 4340 ),31697,(+/- 4565 ),40313,(+/- 4958 )
People,Ancestry,Total population,740979,(+/- 7053 ),734712,(+/- 8438 ),812264,(+/- 10897 ),707219,(+/- 5766 ),717088,(+/- 6416 ),694694,(+/- 6537 ),734091,(+/- 8723 ),731637,(+/- 2063 ),716235,(+/- 10767 ),725301,(+/- 1247 ),678001,(+/- 12524 ),789634,(+/- 9907 ),707603,(+/- 11156 ),720551,(+/- 8821 ),759569,(+/- 9905 ),719864,(+/- 10469 )
People,Ancestry,American,34593,(+/- 4659 ),58331,(+/- 5950 ),39428,(+/- 5776 ),59413,(+/- 4786 ),56731,(+/- 4805 ),56791,(+/- 5488 ),53069,(+/- 5372 ),56307,(+/- 4977 ),29447,(+/- 4382 ),43667,(+/- 5568 ),16940,(+/- 3087 ),49994,(+/- 5473 ),77260,(+/- 6996 ),40284,(+/- 4637 ),66253,(+/- 5204 ),33044,(+/- 4280 )
People,Ancestry,Arab,6389,(+/- 2796 ),2556,(+/- 1261 ),9194,(+/- 3205 ),1182,(+/- 826 ),7901,(+/- 3505 ),1850,(+/- 868 ),2280,(+/- 1080 ),3475,(+/- 2317 ),9227,(+/- 2342 ),3980,(+/- 1688 ),3582,(+/- 976 ),8224,(+/- 3794 ),6759,(+/- 1982 ),5215,(+/- 1913 ),6276,(+/- 2679 ),14431,(+/- 4330 )
People,Ancestry,Czech,2212,(+/- 2190 ),2402,(+/- 926 ),2114,(+/- 816 ),2001,(+/- 1019 ),4292,(+/- 1417 ),2020,(+/- 710 ),5604,(+/- 1877 ),811,(+/- 348 ),5662,(+/- 1104 ),2543,(+/- 1431 ),5165,(+/- 1238 ),3764,(+/- 1400 ),2759,(+/- 927 ),8735,(+/- 1653 ),1709,(+/- 566 ),10119,(+/- 2026 )
People,Ancestry,Danish,715,(+/- 384 ),1227,(+/- 851 ),971,(+/- 724 ),1347,(+/- 658 ),778,(+/- 387 ),372,(+/- 316 ),1651,(+/- 1058 ),870,(+/- 491 ),1115,(+/- 588 ),1196,(+/- 1074 ),489,(+/- 276 ),1426,(+/- 705 ),1120,(+/- 725 ),781,(+/- 440 ),1764,(+/- 929 ),1422,(+/- 586 )
People,Ancestry,Dutch,7062,(+/- 1995 ),8878,(+/- 2172 ),8677,(+/- 2744 ),9856,(+/- 1597 ),10770,(+/- 2221 ),11488,(+/- 2673 ),12037,(+/- 2488 ),9244,(+/- 2181 ),6641,(+/- 1377 ),8317,(+/- 1989 ),3100,(+/- 1145 ),12118,(+/- 2199 ),7101,(+/- 1414 ),7624,(+/- 1373 ),8087,(+/- 1603 ),9006,(+/- 2243 )
People,Ancestry,English,58022,(+/- 5068 ),61722,(+/- 4845 ),39778,(+/- 4377 ),62362,(+/- 5434 ),53496,(+/- 4233 ),63299,(+/- 4332 ),62121,(+/- 5438 ),56985,(+/- 4050 ),42870,(+/- 4253 ),60860,(+/- 5290 ),26265,(+/- 3159 ),71104,(+/- 5543 ),50131,(+/- 4310 ),68011,(+/- 4966 ),70240,(+/- 5114 ),66230,(+/- 4862 )
People,Ancestry,French (except Basque),14895,(+/- 2869 ),12334,(+/- 1869 ),9221,(+/- 2162 ),14201,(+/- 2160 ),22671,(+/- 2560 ),12641,(+/- 2192 ),18490,(+/- 2913 ),14375,(+/- 2228 ),15774,(+/- 2736 ),13868,(+/- 2183 ),5808,(+/- 1167 ),15083,(+/- 2735 ),11408,(+/- 2319 ),14969,(+/- 2487 ),14171,(+/- 2494 ),18245,(+/- 4094 )
People,Ancestry,French Canadian,1008,(+/- 426 ),1069,(+/- 453 ),1239,(+/- 701 ),1049,(+/- 589 ),3279,(+/- 1008 ),1656,(+/- 872 ),1627,(+/- 636 ),1426,(+/- 584 ),2096,(+/- 940 ),2078,(+/- 1156 ),1587,(+/- 712 ),2061,(+/- 935 ),1267,(+/- 485 ),1577,(+/- 530 ),1993,(+/- 634 ),1307,(+/- 597 )
People,Ancestry,German,185473,(+/- 9083 ),160294,(+/- 7256 ),113801,(+/- 7265 ),218864,(+/- 8637 ),247034,(+/- 9175 ),128935,(+/- 7427 ),204946,(+/- 8899 ),185187,(+/- 9572 ),151648,(+/- 7863 ),149929,(+/- 7056 ),58088,(+/- 5181 ),197822,(+/- 10365 ),141377,(+/- 7382 ),158905,(+/- 7668 ),170203,(+/- 8706 ),188211,(+/- 8674 )
People,Ancestry,Greek,3561,(+/- 1250 ),2237,(+/- 990 ),3683,(+/- 1390 ),2683,(+/- 1152 ),2783,(+/- 1165 ),2046,(+/- 817 ),5298,(+/- 1638 ),2290,(+/- 981 ),3752,(+/- 1488 ),1932,(+/- 998 ),3188,(+/- 1128 ),4190,(+/- 1400 ),7415,(+/- 1955 ),4199,(+/- 1135 ),3658,(+/- 1191 ),6001,(+/- 1394 )
People,Ancestry,Hungarian,2713,(+/- 880 ),3461,(+/- 1134 ),6581,(+/- 2490 ),7426,(+/- 1389 ),11701,(+/- 2278 ),6357,(+/- 1215 ),11426,(+/- 2505 ),3065,(+/- 1130 ),19124,(+/- 2628 ),5349,(+/- 1323 ),12158,(+/- 2295 ),8125,(+/- 1786 ),17032,(+/- 2730 ),30506,(+/- 2930 ),6206,(+/- 1451 ),25274,(+/- 3578 )
People,Ancestry,Irish,92250,(+/- 5900 ),95455,(+/- 7285 ),71597,(+/- 6904 ),89117,(+/- 6365 ),87465,(+/- 6628 ),97608,(+/- 6130 ),98569,(+/- 6718 ),83471,(+/- 5671 ),106148,(+/- 6887 ),83281,(+/- 6363 ),45381,(+/- 4229 ),101752,(+/- 6581 ),92000,(+/- 5673 ),104630,(+/- 6077 ),102666,(+/- 6188 ),102308,(+/- 6214 )
People,Ancestry,Italian,34011,(+/- 4270 ),25612,(+/- 3342 ),31442,(+/- 5118 ),27908,(+/- 3479 ),21964,(+/- 3359 ),50524,(+/- 4911 ),52010,(+/- 5706 ),25707,(+/- 3724 ),48225,(+/- 4531 ),23170,(+/- 3047 ),36864,(+/- 4247 ),48577,(+/- 5669 ),87611,(+/- 6374 ),108002,(+/- 6341 ),36516,(+/- 3922 ),69058,(+/- 5655 )
People,Ancestry,Lithuanian,1042,(+/- 834 ),1124,(+/- 514 ),944,(+/- 444 ),327,(+/- 221 ),655,(+/- 488 ),516,(+/- 344 ),1293,(+/- 509 ),585,(+/- 458 ),1761,(+/- 1044 ),888,(+/- 606 ),2330,(+/- 649 ),1299,(+/- 693 ),1183,(+/- 522 ),3627,(+/- 1051 ),404,(+/- 256 ),1645,(+/- 641 )
People,Ancestry,Norwegian,2310,(+/- 804 ),3773,(+/- 1011 ),2767,(+/- 1056 ),2640,(+/- 901 ),3543,(+/- 1040 ),1646,(+/- 608 ),2362,(+/- 973 ),2481,(+/- 833 ),2697,(+/- 1091 ),4520,(+/- 1393 ),1947,(+/- 819 ),4033,(+/- 1448 ),1862,(+/- 944 ),2003,(+/- 657 ),3010,(+/- 974 ),3704,(+/- 1467 )
People,Ancestry,Polish,10371,(+/- 2122 ),10850,(+/- 2376 ),15809,(+/- 2729 ),21235,(+/- 3582 ),38465,(+/- 3937 ),25303,(+/- 3451 ),29244,(+/- 3436 ),11253,(+/- 2748 ),50905,(+/- 4197 ),14175,(+/- 2301 ),31121,(+/- 3044 ),20908,(+/- 2977 ),27179,(+/- 3655 ),52475,(+/- 4643 ),15631,(+/- 2208 ),51951,(+/- 5068 )
People,Ancestry,Portuguese,424,(+/- 299 ),431,(+/- 628 ),278,(+/- 252 ),1447,(+/- 983 ),92,(+/- 116 ),89,(+/- 140 ),1204,(+/- 870 ),330,(+/- 314 ),740,(+/- 670 ),1065,(+/- 661 ),677,(+/- 567 ),1016,(+/- 648 ),763,(+/- 703 ),969,(+/- 573 ),145,(+/- 157 ),941,(+/- 612 )
